"Arquivo","Linha","Antes","Depois"
"\src\app\(cms)\admin\(dashboard)\banners\page.jsx","35","Botao","Botão"
"\src\app\(cms)\admin\(dashboard)\depoimentos\page.jsx","61","{depoimento.videoUrl ? ""Sim"" : ""Nao""}","{depoimento.videoUrl ? ""Sim"" : ""Não""}"
"\src\app\(cms)\admin\(dashboard)\leads\page.jsx","10","ORCAMENTO_ENVIADO: ""Orcamento enviado"",","ORCAMENTO_ENVIADO: ""Orçamento enviado"","
"\src\app\(site)\ambientes\page.jsx","8","title: ""Ambientes | AW Marcenaria e Moveis Planejados"",","title: ""Ambientes | AW Marcenaria e Móveis Planejados"","
"\src\app\(site)\ambientes\page.jsx","10","""Conheca os ambientes projetados pela AW Marcenaria: cozinhas, closets, dormitorios, salas, home office e muito mais, com acabamento premium e projeto personalizado."",","""Conheça os ambientes projetados pela AW Marcenaria: cozinhas, closets, dormitorios, salas, home office e muito mais, com acabamento premium e projeto personalizado."","
"\src\app\(site)\ambientes\page.jsx","29","consultoria de design, materiais premium e acabamento impecavel do","consultoria de design, materiais premium e acabamento impecável do"
"\src\app\(site)\ambientes\page.jsx","30","inicio ao fim.","início ao fim."
"\src\app\(site)\blog\[slug]\page.jsx","11","return { title: ""Post nao encontrado"" };","return { title: ""Post não encontrado"" };"
"\src\app\(site)\blog\[slug]\page.jsx","47","name: ""AW Marcenaria e Moveis Planejados"",","name: ""AW Marcenaria e Móveis Planejados"","
"\src\app\(site)\blog\[slug]\page.jsx","103","Gostou? Vamos criar um ambiente assim para voce.","Gostou? Vamos criar um ambiente assim para você."
"\src\app\(site)\blog\page.jsx","6","title: ""Blog | AW Marcenaria e Moveis Planejados"",","title: ""Blog | AW Marcenaria e Móveis Planejados"","
"\src\app\(site)\blog\page.jsx","8","""Artigos sobre marcenaria planejada, design de interiores, materiais e tendencias."",","""Artigos sobre marcenaria planejada, design de interiores, materiais e tendências."","
"\src\app\(site)\blog\page.jsx","26","Ideias, materiais e tendencias","Ideias, materiais e tendências"
"\src\app\(site)\contato\page.jsx","4","title: ""Contato | AW Marcenaria e Moveis Planejados"",","title: ""Contato | AW Marcenaria e Móveis Planejados"","
"\src\app\(site)\depoimentos\page.jsx","4","title: ""Depoimentos | AW Marcenaria e Moveis Planejados"",","title: ""Depoimentos | AW Marcenaria e Móveis Planejados"","
"\src\app\(site)\faq\page.jsx","4","title: ""Perguntas Frequentes | AW Marcenaria e Moveis Planejados"",","title: ""Perguntas Frequentes | AW Marcenaria e Móveis Planejados"","
"\src\app\(site)\portfolio\page.jsx","4","title: ""Portfolio | AW Marcenaria e Moveis Planejados"",","title: ""Portfolio | AW Marcenaria e Móveis Planejados"","
"\src\app\(site)\portfolio\page.jsx","6","""Confira projetos de marcenaria planejada de alto padrao ja entregues pela AW Marcenaria."",","""Confira projetos de marcenaria planejada de alto padrão ja entregues pela AW Marcenaria."","
"\src\app\(site)\processo\page.jsx","4","title: ""Como Funciona | AW Marcenaria e Moveis Planejados"",","title: ""Como Funciona | AW Marcenaria e Móveis Planejados"","
"\src\app\(site)\sobre\page.jsx","4","title: ""Sobre | AW Marcenaria e Moveis Planejados"",","title: ""Sobre | AW Marcenaria e Móveis Planejados"","
"\src\app\(site)\sobre\page.jsx","6","""Conheca a historia, a missao, os valores e o processo de fabricacao da AW Marcenaria."",","""Conheça a historia, a missao, os valores e o processo de fabricacao da AW Marcenaria."","
"\src\app\api\admin\ambientes\[id]\route.js","19","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });","return NextResponse.json({ erro: ""Não autorizado"" }, { status: 401 });"
"\src\app\api\admin\ambientes\[id]\route.js","52","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });","return NextResponse.json({ erro: ""Não autorizado"" }, { status: 401 });"
"\src\app\api\admin\ambientes\route.js","19","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });","return NextResponse.json({ erro: ""Não autorizado"" }, { status: 401 });"
"\src\app\api\admin\banners\[id]\route.js","20","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });","return NextResponse.json({ erro: ""Não autorizado"" }, { status: 401 });"
"\src\app\api\admin\banners\[id]\route.js","47","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });","return NextResponse.json({ erro: ""Não autorizado"" }, { status: 401 });"
