"Arquivo","Linha","Antes","Depois"
"\src\app\(site)\ambientes\page.jsx","10","""Conheça os ambientes projetados pela AW Marcenaria: cozinhas, closets, dormitorios, salas, home office e muito mais, com acabamento premium e projeto personalizado."",","""Conheça os ambientes projetados pela AW Marcenaria: cozinhas, closets, dormitórios, salas, home office e muito mais, com acabamento premium e projeto personalizado."","
"\src\app\(site)\ambientes\page.jsx","25","Cada espaco, um projeto exclusivo","Cada espaço, um projeto exclusivo"
"\src\app\(site)\portfolio\page.jsx","6","""Confira projetos de marcenaria planejada de alto padrão ja entregues pela AW Marcenaria."",","""Confira projetos de marcenaria planejada de alto padrão já entregues pela AW Marcenaria."","
"\src\app\api\admin\ambientes\[id]\route.js","40","{ erro: ""Ja existe um ambiente com esse slug"" },","{ erro: ""Já existe um ambiente com esse slug"" },"
"\src\app\api\admin\ambientes\route.js","37","{ erro: ""Ja existe um ambiente com esse slug"" },","{ erro: ""Já existe um ambiente com esse slug"" },"
"\src\app\api\admin\blog\[id]\route.js","55","{ erro: ""Ja existe um post com esse slug"" },","{ erro: ""Já existe um post com esse slug"" },"
"\src\app\api\admin\blog\route.js","47","{ erro: ""Ja existe um post com esse slug"" },","{ erro: ""Já existe um post com esse slug"" },"
"\src\app\api\admin\portfolio\[id]\route.js","42","{ erro: ""Ja existe um projeto com esse slug"" },","{ erro: ""Já existe um projeto com esse slug"" },"
"\src\app\api\admin\portfolio\route.js","39","{ erro: ""Ja existe um projeto com esse slug"" },","{ erro: ""Já existe um projeto com esse slug"" },"
"\src\components\sections\Ambientes.jsx","30","nome: ""Area Gourmet"",","nome: ""Área Gourmet"","
"\src\components\sections\Ambientes.jsx","32","alt: ""Area gourmet planejada com bancada e armarios em madeira"",","alt: ""Área gourmet planejada com bancada e armarios em madeira"","
"\src\components\sections\Contato.jsx","22","""Area Gourmet"",","""Área Gourmet"","
"\src\components\sections\Portfolio.jsx","23","Projetos que ja entregamos","Projetos que já entregamos"
"\src\components\sections\PortfolioGaleria.jsx","65","Imagem indisponivel","Imagem indisponível"
"\src\components\sections\Processo.jsx","30","""Equipe especializada realiza a instalação com precisao e cuidado no seu espaço."",","""Equipe especializada realiza a instalação com precisão e cuidado no seu espaço."","
"\src\components\sections\Sobre.jsx","35","Onde a precisao encontra a elegancia, criando ambientes para geracoes.","Onde a precisão encontra a elegância, criando ambientes para gerações."
"\src\components\sections\Sobre.jsx","39","Ha mais de uma decada, a AW Marcenaria transforma projetos em móveis planejados de alto padrao, combinando madeiras nobres, acabamento impecável e um processo artesanal que valoriza cada detalhe, criando ambientes unicos e atemporais.","Ha mais de uma década, a AW Marcenaria transforma projetos em móveis planejados de alto padrão, combinando madeiras nobres, acabamento impecável e um processo artesanal que valoriza cada detalhe, criando ambientes únicos e atemporais."
"\src\components\sections\Sobre.jsx","43","Do primeiro esboco a instalação final, cada projeto e desenvolvido sob medida, unindo precisao, sofisticação e excelencia artesanal. O resultado são ambientes funcionais, duraveis e com uma estetica atemporal, criados para valorizar cada espaço e refletir a personalidade de seus clientes.","Do primeiro esboço a instalação final, cada projeto e desenvolvido sob medida, unindo precisão, sofisticação e excelência artesanal. O resultado são ambientes funcionais, duráveis e com uma estética atemporal, criados para valorizar cada espaço e refletir a personalidade de seus clientes."
"\src\components\site\Hero.jsx","54","subtitulo=""Projetos exclusivos de marcenaria planejada: do conceito a instalacao, com acabamento impecável e atendimento personalizado do início ao fim.""","subtitulo=""Projetos exclusivos de marcenaria planejada: do conceito a instalação, com acabamento impecável e atendimento personalizado do início ao fim."""
"\src\components\Footer.jsx","41","{/* Links de navegacao */}","{/* Links de navegação */}"
"\src\components\Footer.jsx","44","Navegacao","Navegação"
"\src\components\Header.jsx","12","{ nome: ""Blog"", href: ""/blog"", pagina: true },","{ nome: ""Blog"", href: ""/blog"", página: true },"
